date,price,close,high,low,open,volume,ticker,day
2010-01-04,15.609803199768066,15.684433937072754,15.753503799438477,15.621622085571289,15.689438819885254,78169752,GOOGL,0
2010-01-05,15.54106330871582,15.615365028381348,15.711711883544922,15.554054260253906,15.695195198059082,120067812,GOOGL,1
2010-01-06,15.149293899536133,15.221721649169922,15.662161827087402,15.174174308776855,15.662161827087402,158988852,GOOGL,2
2010-01-07,14.796625137329102,14.867366790771484,15.265265464782715,14.83108139038086,15.250249862670898,256315428,GOOGL,3
2010-01-08,14.993880271911621,15.065566062927246,15.096345901489258,14.742491722106934,14.814814567565918,188783028,GOOGL,4
2010-01-11,14.971217155456543,15.042793273925781,15.126626968383789,14.865865707397461,15.126626968383789,288227484,GOOGL,0
2010-01-12,14.706465721130371,14.776777267456055,14.968969345092773,14.714715003967285,14.956206321716309,193937868,GOOGL,1
2010-01-13,14.622035026550293,14.69194221496582,14.724224090576172,14.361862182617188,14.426676750183105,259604136,GOOGL,2
2010-01-14,14.690774917602539,14.761011123657227,14.86987018585205,14.584835052490234,14.612112045288086,169434396,GOOGL,3
2010-01-15,14.445451736450195,14.514514923095703,14.853854179382324,14.46546459197998,14.848347663879395,217162620,GOOGL,4
2010-01-19,14.635234832763672,14.705204963684082,14.775275230407715,14.421671867370605,14.54454517364502,172495332,GOOGL,1
2010-01-20,14.455662727355957,14.524774551391602,14.664163589477539,14.396647453308105,14.664163589477539,129897972,GOOGL,2
2010-01-21,14.519671440124512,14.589089393615723,14.685185432434082,14.320570945739746,14.600601196289062,252055692,GOOGL,3
2010-01-22,13.698522567749023,13.76401424407959,14.279278755187988,13.38488483428955,14.126626968383789,271743984,GOOGL,4
2010-01-25,13.449213981628418,13.513513565063477,13.760761260986328,13.401150703430176,13.678427696228027,176619204,GOOGL,0
2010-01-26,13.509485244750977,13.574073791503906,13.753753662109375,13.420671463012695,13.462713241577148,174045780,GOOGL,1
2010-01-27,13.501516342163086,13.566065788269043,13.704955101013184,13.396145820617676,13.545294761657715,158417424,GOOGL,2
2010-01-28,13.307001113891602,13.370620727539062,13.688689231872559,13.278278350830078,13.625876426696777,129034836,GOOGL,3
2010-01-29,13.198659896850586,13.261761665344238,13.538288116455078,13.153403282165527,13.475726127624512,165454380,GOOGL,4
2010-02-01,13.275369644165039,13.338838577270508,13.408658981323242,13.270771026611328,13.378377914428711,89941968,GOOGL,0
2010-02-02,13.228048324584961,13.291291236877441,13.3873872756958,13.203453063964844,13.3873872756958,163684152,GOOGL,1
2010-02-03,13.469635963439941,13.53403377532959,13.566065788269043,13.218969345092773,13.22998046875,119844036,GOOGL,2
2010-02-04,13.11995792388916,13.182682991027832,13.463462829589844,13.152152061462402,13.438438415527344,134972892,GOOGL,3
